platform,character_limit,hashtag_limit,image_formats,video_max_length,optimal_post_format
twitter,280,2,"PNG,JPG,GIF","2:20","Text with optional media"
twitter_premium,25000,2,"PNG,JPG,GIF","2:20","Long-form threads"
linkedin,3000,5,"PNG,JPG","10:00","Hook + whitespace + content"
linkedin_article,unlimited,5,"PNG,JPG","unlimited","Long-form professional"
facebook,63206,unlimited,"PNG,JPG","240:00","Native video preferred"
instagram,2200,30,"PNG,JPG","15:00","Visual-first with caption"
instagram_reels,2200,30,"MP4","15:00","Vertical 9:16 video"
tiktok,4000,unlimited,"MP4","10:00","Vertical 9:16 video"
youtube,5000,unlimited,"PNG,JPG,MP4","unlimited","Title + description SEO"
youtube_shorts,100,unlimited,"MP4","0:60","Vertical 9:16 video"
pinterest,500,unlimited,"PNG,JPG","unlimited","2:3 vertical pins"
threads,500,unlimited,"PNG,JPG","5:00","Conversational text"
bluesky,300,unlimited,"PNG,JPG,GIF","unlimited","Short-form with alt-text"
mastodon,500,unlimited,"PNG,JPG,GIF","unlimited","CW-aware posting"
